Date,Open,High,Low,Close,Volume,Adj Close
2013-04-19,2.33,2.52,2.33,2.46,100600,2.46
2013-04-18,2.28,2.38,2.13,2.38,114800,2.38
2013-04-17,2.52,2.55,2.27,2.29,72300,2.29
2013-04-16,2.59,2.59,2.50,2.54,1456800,2.54
2013-04-15,2.62,2.62,2.54,2.56,330000,2.56
2013-04-12,2.61,2.66,2.57,2.64,55300,2.64
2013-04-11,2.66,2.66,2.60,2.63,115700,2.63
2013-04-10,2.72,2.72,2.60,2.62,170200,2.62
2013-04-09,2.61,2.72,2.61,2.71,98400,2.71
2013-04-08,2.56,2.61,2.56,2.57,67700,2.57
2013-04-05,2.56,2.61,2.38,2.60,364300,2.60
2013-04-04,2.69,2.69,2.65,2.66,22000,2.66
2013-04-03,2.70,2.76,2.67,2.71,42800,2.71
2013-04-02,2.58,2.75,2.55,2.68,85800,2.68
2013-04-01,2.60,2.63,2.59,2.60,63400,2.60
2013-03-28,2.64,2.65,2.60,2.61,46000,2.61
2013-03-27,2.64,2.65,2.61,2.62,29400,2.62
2013-03-26,2.63,2.68,2.58,2.66,81500,2.66
2013-03-25,2.64,2.64,2.61,2.62,20300,2.62
2013-03-22,2.63,2.66,2.63,2.65,31000,2.65
2013-03-21,2.61,2.66,2.60,2.63,26700,2.63
2013-03-20,2.75,2.75,2.61,2.61,12100,2.61
2013-03-19,2.67,2.76,2.65,2.76,20800,2.76
2013-03-18,2.65,2.78,2.62,2.69,69100,2.69
2013-03-15,2.69,2.71,2.65,2.66,225400,2.66
2013-03-14,2.67,2.69,2.64,2.65,50000,2.65
2013-03-13,2.66,2.69,2.65,2.68,23600,2.68
2013-03-12,2.71,2.71,2.67,2.68,50500,2.68
2013-03-11,2.68,2.70,2.66,2.70,40700,2.70
2013-03-08,2.67,2.71,2.63,2.71,23600,2.71
2013-03-07,2.68,2.70,2.64,2.64,101500,2.64
2013-03-06,2.65,2.70,2.65,2.67,119600,2.67
2013-03-05,2.75,2.76,2.64,2.66,64700,2.66
2013-03-04,2.70,2.79,2.70,2.70,45200,2.70
2013-03-01,2.76,2.76,2.59,2.74,184900,2.74
2013-02-28,2.67,2.76,2.65,2.76,239400,2.76
2013-02-27,2.72,2.72,2.58,2.70,30000,2.70
2013-02-26,2.71,2.74,2.67,2.71,16900,2.71
2013-02-25,2.60,2.69,2.59,2.67,1522800,2.67
2013-02-22,2.62,2.62,2.54,2.60,73300,2.60
2013-02-21,2.58,2.64,2.56,2.61,16500,2.61
2013-02-20,2.59,2.59,2.53,2.57,245200,2.57
2013-02-19,2.77,2.77,2.58,2.65,23000,2.65
2013-02-15,2.62,2.75,2.62,2.73,11100,2.73
2013-02-14,2.72,2.75,2.69,2.73,19000,2.73
2013-02-13,2.71,2.78,2.69,2.76,22000,2.76
2013-02-12,2.78,2.78,2.68,2.77,48000,2.77
2013-02-11,2.72,2.84,2.72,2.78,59700,2.78
2013-02-08,2.85,2.87,2.80,2.87,7800,2.87
2013-02-07,2.85,2.90,2.75,2.89,109700,2.89
2013-02-06,2.87,2.88,2.85,2.86,100000,2.86
2013-02-05,2.82,2.88,2.75,2.88,60200,2.88
2013-02-04,2.82,2.82,2.62,2.79,29200,2.79
2013-02-01,2.71,2.79,2.64,2.79,115600,2.79
2013-01-31,2.46,2.71,2.46,2.67,88900,2.67
2013-01-30,2.35,2.50,2.35,2.43,111900,2.43
2013-01-29,2.31,2.41,2.26,2.35,41400,2.35
2013-01-28,2.38,2.43,2.27,2.27,45900,2.27
2013-01-25,2.31,2.44,2.30,2.44,32800,2.44
2013-01-24,2.40,2.40,2.30,2.30,46100,2.30
2013-01-23,2.35,2.43,2.31,2.40,34700,2.40
2013-01-22,2.40,2.40,2.31,2.31,47000,2.31
2013-01-21,2.40,2.48,2.37,2.40,32900,2.40
2013-01-18,2.46,2.46,2.31,2.37,56000,2.37
2013-01-17,2.56,2.56,2.45,2.45,4200,2.45
2013-01-16,2.47,2.49,2.45,2.45,17100,2.45
2013-01-15,2.48,2.52,2.47,2.47,9100,2.47
2013-01-14,2.62,2.62,2.53,2.54,58100,2.54
2013-01-11,2.56,2.70,2.53,2.64,20800,2.64
2013-01-10,2.61,2.63,2.57,2.57,9000,2.57
2013-01-09,2.64,2.64,2.54,2.59,13300,2.59
2013-01-08,2.69,2.70,2.61,2.61,31000,2.61
2013-01-07,2.64,2.70,2.57,2.67,57400,2.67
2013-01-04,2.45,2.58,2.43,2.58,7600,2.58
2013-01-03,2.49,2.54,2.44,2.46,20500,2.46
2013-01-02,2.46,2.55,2.43,2.55,17600,2.55
2012-12-31,2.27,2.44,2.27,2.43,8400,2.43
2012-12-28,2.38,2.40,2.26,2.26,43100,2.26
2012-12-27,2.30,2.42,2.30,2.38,30600,2.38
2012-12-24,2.31,2.31,2.26,2.28,2100,2.28
2012-12-21,2.27,2.33,2.25,2.27,14100,2.27
2012-12-20,2.25,2.34,2.23,2.28,95800,2.28
2012-12-19,2.40,2.40,2.24,2.24,34200,2.24
2012-12-18,2.51,2.52,2.32,2.38,81700,2.38
2012-12-17,2.54,2.56,2.50,2.54,137700,2.54
2012-12-14,2.53,2.54,2.52,2.54,34400,2.54
2012-12-13,2.55,2.55,2.45,2.52,65000,2.52
2012-12-12,2.62,2.65,2.56,2.59,62100,2.59
2012-12-11,2.45,2.60,2.41,2.60,35000,2.60
2012-12-10,2.27,2.41,2.22,2.39,129800,2.39
2012-12-07,2.24,2.31,2.19,2.28,114300,2.28
2012-12-06,2.21,2.26,2.17,2.18,20600,2.18
2012-12-05,2.20,2.28,2.17,2.22,33700,2.22
2012-12-04,2.30,2.30,2.18,2.20,33600,2.20
2012-12-03,2.47,2.47,2.28,2.29,32900,2.29
2012-11-30,2.54,2.54,2.41,2.46,62900,2.46
2012-11-29,2.55,2.56,2.49,2.52,24900,2.52
